id,First Name,Last Name,Job Type,Title,Department,Email,Phone,Website,Website Title,Address,Office Hours,Body,Photo,Status
1,Aubrey,Harding,Information Technology,Professor of English,English,damon.haley@colorado.edu,x5-0229,http://www.colorado.edu,My bodacious site,Office: Hellems 158,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
2,Aldous,Lear,"Cow Rusting,Bounty Hunter",Enrollment Services Representative,Web Communications,registrar@colorado.edu,303-492-6970,http://www.colorado.edu,My cool site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
3,Absalom,Seelig,"Detective,Comedian",Assistant Registrar,Web Communications,amelia.r.jackson@colorado.edu,303-492-8134,http://www.colorado.edu,My awesome site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
4,Trecia,Paul,Superhero,Enrollment Services Representative/Commencement,Web Communications,registrar@colorado.edu,303-492-6970,http://www.colorado.edu,My bodacious site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
5,Briscoe,Levett,Superhero,Registrar,Web Communications,barbara.todd@colorado.edu,303-492-1130,http://www.colorado.edu,My cool site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
6,Mort,Soames,Superhero,Enrollment Services Representative/Withdrawal Coordinator,Web Communications,registrar@colorado.edu,303-492-6970,http://www.colorado.edu,My awesome site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
7,Cecil,Conkle,Superhero,ISIS Development,Web Communications,carol.mash@colorado.edu,303-492-3072,http://www.colorado.edu,My bodacious site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
8,Doran,Philips,Superhero,"Associate Registrar for ISIS Faculty,Staff Services",Web Communications,christy.samford@colorado.edu,303-492-8066,http://www.colorado.edu,My cool site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
9,Benjy,Stall,Superhero,Enrollment Services Manager,Web Communications,dana.kusjanovic@colorado.edu,303-492-6970,http://www.colorado.edu,My awesome site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
10,Briana,Winton,Superhero,Assistant Registrar,Web Communications,daniel.robert@colorado.edu,303-492-7905,http://www.colorado.edu,My bodacious site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
11,Gyles,Prevatt,Superhero,Enrollment Services Representative,Web Communications,registrar@colorado.edu,303-492-6970,http://www.colorado.edu,My cool site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
12,Earleen,Mueller,Superhero,Associate Registrar,Web Communications,david.beckham@colorado.edu,303-492-6231,http://www.colorado.edu,My awesome site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
13,Braiden,Carr,Superhero,Assistant Registrar,Web Communications,debbie.otterstrom@colorado.edu,303-492-4570,http://www.colorado.edu,My bodacious site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
14,Brooke,Weldy,Superhero,Athletic Eligibility Coordinator,Web Communications,dee.menzies@colorado.edu,303-492-6995,http://www.colorado.edu,My cool site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
15,Miles,Pennington,Superhero,Enrollment Services Registrar,Web Communications,registrar@colorado.edu,303-492-6970,http://www.colorado.edu,My awesome site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
16,Hallie,Llora,Superhero,Developer,Web Communications,erik.magelssen@colorado.edu,303-492-2463,http://www.colorado.edu,My bodacious site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
17,Eireann,Knight,Superhero,Imaging Operations,Web Communications,janet.garrett@colorado.edu,303-492-2461,http://www.colorado.edu,My cool site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
18,Janine,Mcloskey,Superhero,Enrollment Services Representative/Transcripts,Web Communications,registrar@colorado.edu,303-492-6970,http://www.colorado.edu,My awesome site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
19,Hilda,Courtney,Superhero,Developer,Web Communications,jonathan.danzl@colorado.edu,303-492-8982,http://www.colorado.edu,My bodacious site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
20,Felix,Johns,Superhero,ISIS Development,Web Communications,julie.michalowski@colorado.edu,303-492-8066,http://www.colorado.edu,My cool site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
21,Ava,Giesen,Superhero,ISIS Acess & Training,Web Communications,isisaccess@colorado.edu,303-492-6093,http://www.colorado.edu,My awesome site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
22,Adam,Klockman,Superhero,Assistant to the Registrar,Web Communications,lisa.vialpando@colorado.edu,303-492-1130,http://www.colorado.edu,My bodacious site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
23,Emmet,Graff,"Superhero,Magician",Enrollment Services Representative/Student Manager,Web Communications,registrar@colorado.edu,303-492-6970,http://www.colorado.edu,My cool site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
24,Gerard,Biery,"Superhero,Magician",Enrollment Services Representative,Web Communications,registrar@colorado.edu,303-492-6970,http://www.colorado.edu,My awesome site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
25,Femie,Jackson,"Superhero,Magician",Tuition Classification Officer,Web Communications,nancy.mars@colorado.edu,303-735-1318,http://www.colorado.edu,My bodacious site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
26,Jimi,Bryant,"Superhero,Magician",Lead Developer,Web Communications,nischal.dangol@colorado.edu,303-492-0979,http://www.colorado.edu,My cool site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
27,Christie,Crissman,"Superhero,Magician",Communications Coordinator & Athletic Eligibility Assistant,Web Communications,nonie.wainwright@colorado.edu,303-492-2022,http://www.colorado.edu,My awesome site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
28,Shonda,Dimeling,"Superhero,Magician",Degree Audit,Web Communications,peyton.colburn@colorado.edu,303-492-2223,http://www.colorado.edu,My bodacious site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
29,Tanner,Baskett,"Superhero,Magician",Senior Associate Registrar for ISIS Development,Web Communications,sally.page@colorado.edu,303-492-2464,http://www.colorado.edu,My cool site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
30,Royale,Cook,"Superhero,Magician",Assistant Registrar,Web Communications,susan.dorsey@colorado.edu,303-492-8201,http://www.colorado.edu,My awesome site,584 UCB,Fall 2013 Office Hours: Tuesdays & Thursdays 12:30 – 2:00 PM,I like beer.,missing.jpg,1
